1.62,五彩缤纷 平行世界
4.395,梦幻奇迹 大饱眼福
8.985,同住一个星球的我们 拉起一个圈 拉起一个圈
13.53,一个大大的圆圈
27.585,呐 时不时的 过来玩玩吧
32.965,这里啊 能让你忘记时间的流逝呢
39.45,不管是愿望 自言自语 还是信念
44.205,只要给口袋施加魔法
48.96,就全都变成雪白的绒毛 软绵绵
52.36,手握马克杯
56.07,耳边传来孩子们的声音
61.975,转起来 Rough & laugh for you
64.79,转起来 Loop & Loop do you?
67.565,聚起来 再散开
70.235,笑靥如花
73.065,五彩缤纷 平行世界
75.84,梦幻奇迹 大饱眼福
80.45,同住一个星球的我们 拉起一个圈 拉起一个圈
84.995,一个大大的圆圈
102.57,オオカミくんの転職 *** 狼的新工作
109.17,あ～忙しい忙しい *** 哎呀 忙死我了
111.27,急がないと遅れちゃうわ *** 再不抓紧就要迟到了
114.965,あぁ～！吸わないでぇ！ *** 啊 不要吸我啦
117.55,あらっ *** 哎呀
119.42,いきなりなに？ *** 突袭我是要搞神马啊
121.53,ごめんなさい… *** 对不住了
124.085,これから出かけなきゃいけないから急いでて… *** 这不赶时间出门 想着赶快收拾完么
127.92,そうだわ！お詫びといっちゃあなんだけど… *** 对了 就当是赔礼吧
133.105,でこれをもらったの？ *** 所以 就把这个给你了？
136.385,まったくお母さんには困っちゃうよ *** 真是的 我对我妈已经无奈了
140.525,掃除機なんて世界からなくなっちゃえばいいのに *** 要是吸尘器能从这个世界上消失就好了
144.215,なくさなくていいんじゃないかな？ *** 高抬贵手饶了吸尘器吧
147.525,キミのとこは珍しい掃除機の使い方だから *** 毕竟你们家的用法是特例
153.09,いただきま～す *** 我不客气了
157.24,うん！いいねぇこれ！ *** 这个味道不错嘛
160.55,パンダくんこれトラヤのお菓子？ *** 熊猫 这是虎屋的点心么
163.925,さぁ…お母さんに聞いてよ *** 我哪儿知道 要问问我妈去
167.99,魚が好きな僕には最高のフォルムだし味もいいよ！ *** 鱼的造型正合我意 味道又好
171.565,トラヤのお菓子は最高だね！ *** 虎屋的点心真是天下无敌了
173.41,あっ… *** 对了
176.165,ペンギンさんうちのお菓子もどう？ *** 企鹅 要不要也尝尝我家的点心
179.43,あるの？じゃあ…いただこうかな！ *** 你做了吗？那就来份儿吧
184.46,どうぞ…シーラカンスだよ *** 请用 这是空棘鱼
187.715,よく出来てるけど *** 做得倒挺逼真
190.525,生きた化石はお菓子の題材としてどうなんだろうね *** 就是这个活化石的造型太诡异了吧
194.815,悔しかったんですか？ *** 不服气吗
196.905,ちょっとだけだよ *** 有那么一点儿
201.82,なにぃ～？今日で辞めさせてくれだと～？ *** 什么 以后都不干了？！
206.37,ふんったく…シマウマのやつ *** 真是的 斑马那家伙
210.45,やっぱり草食系は根性ねえなぁ *** 所以说食草的净是些没毅力的货
216.135,こんにちは *** 你好
219.0,オオカミじゃんか *** 哟 这不是狼么
220.865,こんな昼間にどうした *** 大白天的跑来 怎么搞的
222.725,今日は休みか？ *** 今天休假么
225.02,うん…実は… *** 嗯 其实我…
227.98,先月でパン屋辞めちゃったんだ *** 上个月把面包店的工作辞了
230.625,えぇ！！なんで！？ *** 诶～ 为啥
234.225,勤務時間が長過ぎて腰痛めちゃって… *** 每天工作时间太长 腰痛得厉害
237.76,おいおい…大丈夫かよ *** 喂 你没事儿吧
